order_id,customer_id,customer_age,customer_gender,customer_country,customer_segment,is_repeat_customer,order_date,ship_date,delivery_date,order_status,product_id,product_name,brand,category,unit_price,quantity,discount_percent,discount_amount,subtotal,tax_rate,tax_amount,shipping_cost,total_amount,payment_method,shipping_method,product_rating,review_count,is_returned
ORD-100032,CUST-56112,60,Non-Binary,Brazil,Gold,1,2022-08-26,2022-08-29,2022-09-05,Shipped,PROD-8434,Floor Mats,Thule,Automotive,210.27,8,25,420.54,1682.16,0.13,164.01,0,1425.63,Bank Transfer,Free Shipping,,2508,0
ORD-100033,CUST-33519,66,Non-Binary,United Kingdom,Gold,0,2024-11-14,2024-11-16,2024-11-20,Delivered,PROD-5952,Cycling Helmet,Puma,Sports & Fitness,99.9,4,15,59.94,399.6,0.06,20.38,12.99,373.03,Apple Pay,Overnight,2.9,4829,0
ORD-100034,CUST-43092,36,Prefer not to say,Brazil,Bronze,0,2024-07-30,2024-08-06,2024-08-08,Cancelled,PROD-8827,Mouse,Sony,Electronics,707.54,1,30,212.26,707.54,0.08,39.62,0,534.9,Cryptocurrency,Overnight,,4702,0
ORD-100035,CUST-87139,56,Female,Japan,Gold,1,2022-09-15,2022-09-16,2022-09-20,Delivered,PROD-8025,Jeans,Uniqlo,Clothing,152.6,10,0,0.0,1526.0,0.07,106.82,12.99,1645.81,Gift Card,Free Shipping,4.1,4966,0
ORD-100036,CUST-47762,18,Prefer not to say,Brazil,Silver,0,2024-09-14,2024-09-15,2024-09-18,Delivered,PROD-5632,Foam Roller,Spalding,Sports & Fitness,33.48,2,5,3.35,66.96,0.11,7.0,4.99,75.6,Cryptocurrency,Overnight,3.2,1282,0
ORD-100037,CUST-49857,21,Female,Germany,Platinum,0,2022-04-06,2022-04-08,2022-04-13,Processing,PROD-7594,Dash Cam,Thule,Automotive,277.92,10,5,138.96,2779.2,0.09,237.62,12.99,2890.85,Google Pay,Free Shipping,,584,0
ORD-100038,CUST-46458,55,Male,Germany,Platinum,1,2022-10-23,2022-10-27,2022-10-28,Delivered,PROD-3973,Gym Gloves,Wilson,Sports & Fitness,202.57,2,0,0.0,405.14,0.14,56.72,19.99,481.85,Credit Card,Express,4.8,4712,0
ORD-100039,CUST-43082,60,Prefer not to say,Japan,Gold,0,2021-11-26,2021-12-01,2021-12-08,Shipped,PROD-6296,Card Game,Hasbro,Toys & Games,121.73,7,15,127.82,852.11,0.08,57.94,0,782.23,Credit Card,Free Shipping,,2361,0
ORD-100040,CUST-67424,66,Male,Australia,Gold,0,2022-01-20,2022-01-25,2022-02-04,Processing,PROD-8941,Shorts,Reebok,Clothing,249.22,1,30,74.77,249.22,0.1,17.45,0,191.9,Google Pay,In-Store Pickup,,3621,0
ORD-100041,CUST-64459,47,Male,Canada,Gold,1,2023-04-16,2023-04-17,2023-04-21,Pending,PROD-8905,T-Shirt,Under Armour,Clothing,241.79,3,10,72.54,725.37,0.11,71.81,12.99,737.63,Cryptocurrency,Overnight,,929,0
ORD-100042,CUST-29476,39,Non-Binary,United States,Platinum,1,2021-10-07,2021-10-08,2021-10-13,Processing,PROD-8316,Air Freshener,Philips,Automotive,169.86,7,5,59.45,1189.02,0.14,158.14,12.99,1300.7,Google Pay,Overnight,,3399,0
ORD-100043,CUST-14852,20,Non-Binary,Brazil,Platinum,0,2022-01-22,2022-01-25,2022-02-04,Delivered,PROD-3068,Jump Starter,Meguiar's,Automotive,170.05,9,20,306.09,1530.45,0.1,122.44,4.99,1351.79,Gift Card,Free Shipping,4.4,3365,0
ORD-100044,CUST-92155,57,Prefer not to say,United Kingdom,Gold,1,2024-09-02,2024-09-04,2024-09-06,Delivered,PROD-8994,Sunscreen SPF50,CeraVe,Beauty & Personal Care,24.43,8,0,0.0,195.44,0.12,23.45,7.99,226.88,Bank Transfer,In-Store Pickup,4.9,2773,0
ORD-100045,CUST-29080,20,Non-Binary,United States,Platinum,1,2021-07-21,2021-07-22,2021-07-30,Delivered,PROD-5000,Speaker,Samsung,Electronics,609.87,5,5,152.47,3049.35,0.12,347.63,7.99,3252.5,Google Pay,Overnight,2.2,237,0
ORD-100046,CUST-67898,60,Male,Brazil,Bronze,0,2023-10-17,2023-10-19,2023-10-23,Delivered,PROD-6661,Educational Toy,Mattel,Toys & Games,49.13,2,20,19.65,98.26,0.11,8.65,0,87.26,Google Pay,In-Store Pickup,2.0,2091,0
ORD-100047,CUST-47512,19,Prefer not to say,Germany,Platinum,0,2021-08-07,2021-08-10,2021-08-17,Delivered,PROD-4770,Fitness Tracker,Puma,Sports & Fitness,188.16,5,5,47.04,940.8,0.15,134.06,7.99,1035.81,Credit Card,In-Store Pickup,3.3,2418,0
ORD-100048,CUST-80701,23,Non-Binary,France,Silver,0,2021-03-22,2021-03-26,2021-04-08,Delivered,PROD-6994,Electric Shaver,Olay,Beauty & Personal Care,126.06,3,0,0.0,378.18,0.14,52.95,19.99,451.12,Gift Card,Express,3.3,1076,0
ORD-100049,CUST-69609,72,Non-Binary,United Kingdom,Bronze,1,2021-08-24,2021-08-31,2021-09-02,Delivered,PROD-7038,Running Shoes,Puma,Sports & Fitness,366.47,8,10,293.18,2931.76,0.12,316.63,4.99,2960.2,Gift Card,Standard,4.9,3255,0
ORD-100050,CUST-49893,62,Non-Binary,India,Bronze,0,2021-02-21,2021-02-26,2021-03-08,Delivered,PROD-9071,Foam Roller,Garmin,Sports & Fitness,330.73,6,0,0.0,1984.38,0.12,238.13,7.99,2230.5,Debit Card,Express,1.3,3803,0
ORD-100051,CUST-14288,74,Prefer not to say,United Kingdom,Gold,1,2024-11-27,2024-12-03,2024-12-13,Shipped,PROD-7070,Jeans,H&M,Clothing,267.3,3,20,160.38,801.9,0.1,64.15,19.99,725.66,Cryptocurrency,In-Store Pickup,,1265,0
ORD-100052,CUST-53713,72,Prefer not to say,United Kingdom,Bronze,0,2024-01-21,2024-01-26,2024-01-27,Delivered,PROD-4990,History Book,Pearson,Books,76.28,6,0,0.0,457.68,0.15,68.65,4.99,531.32,Apple Pay,In-Store Pickup,1.8,1000,0
ORD-100053,CUST-27275,35,Female,Canada,Bronze,0,2022-11-04,2022-11-06,2022-11-19,Cancelled,PROD-1243,Lamp,KitchenAid,Home & Kitchen,55.13,9,5,24.81,496.17,0.11,51.85,0,523.21,Google Pay,Express,,23,0
ORD-100054,CUST-70036,50,Male,Brazil,Gold,0,2023-05-13,2023-05-14,2023-05-26,Delivered,PROD-1510,Electric Shaver,Cetaphil,Beauty & Personal Care,68.13,3,10,20.44,204.39,0.06,11.04,19.99,214.98,Apple Pay,In-Store Pickup,2.8,2965,0
ORD-100055,CUST-69469,26,Non-Binary,Mexico,Gold,1,2021-05-31,2021-06-01,2021-06-07,Shipped,PROD-9282,Keyboard,Lenovo,Electronics,1082.89,2,25,541.45,2165.78,0.12,194.92,7.99,1827.24,Bank Transfer,Free Shipping,,538,0
ORD-100056,CUST-18799,38,Prefer not to say,France,Platinum,0,2023-04-28,2023-05-03,2023-05-17,Delivered,PROD-2494,Board Game,Hasbro,Toys & Games,214.37,9,5,96.47,1929.33,0.09,164.96,0,1997.82,Google Pay,Overnight,2.7,778,0
ORD-100057,CUST-30280,73,Male,Germany,Silver,0,2024-02-25,2024-03-01,2024-03-12,Delivered,PROD-8900,Jeans,Uniqlo,Clothing,37.99,6,0,0.0,227.94,0.11,25.07,12.99,266.0,Google Pay,Overnight,2.4,3464,0
ORD-100058,CUST-56009,19,Non-Binary,United States,Gold,1,2022-04-09,2022-04-15,2022-04-29,Delivered,PROD-1100,Self-Help Book,Macmillan,Books,68.39,6,0,0.0,410.34,0.13,53.34,12.99,476.67,PayPal,Overnight,4.1,4560,0
ORD-100059,CUST-90981,37,Non-Binary,Mexico,Silver,0,2021-07-07,2021-07-10,2021-07-17,Delivered,PROD-1815,Toaster,Breville,Home & Kitchen,399.54,2,0,0.0,799.08,0.12,95.89,0,894.97,Debit Card,Standard,2.4,3031,0
ORD-100060,CUST-11007,49,Non-Binary,United States,Bronze,1,2023-11-16,2023-11-17,2023-11-23,Delivered,PROD-4349,Sneakers,Gap,Clothing,201.95,8,25,403.9,1615.6,0.09,109.05,0,1320.75,Apple Pay,Free Shipping,2.1,4858,0
ORD-100061,CUST-70260,53,Non-Binary,United Kingdom,Bronze,1,2023-06-01,2023-06-03,2023-06-06,Delivered,PROD-2275,Resistance Bands,Under Armour,Sports & Fitness,308.01,5,15,231.01,1540.05,0.06,78.54,7.99,1395.57,Gift Card,Standard,3.8,4098,0
ORD-100062,CUST-87184,71,Non-Binary,United Kingdom,Platinum,0,2022-10-28,2022-10-30,2022-11-12,Returned,PROD-7560,Body Lotion,Braun,Beauty & Personal Care,116.8,7,10,81.76,817.6,0.06,44.15,0,779.99,Gift Card,Standard,,3769,1
ORD-100063,CUST-32740,40,Female,Australia,Silver,1,2023-11-12,2023-11-13,2023-11-22,Delivered,PROD-3504,Shorts,Levi's,Clothing,226.27,4,15,135.76,905.08,0.13,100.01,0,869.33,Debit Card,Express,4.6,2862,0
ORD-100064,CUST-87518,27,Prefer not to say,United Kingdom,Gold,1,2024-08-09,2024-08-14,2024-08-28,Pending,PROD-1920,Jacket,Gap,Clothing,144.54,10,25,361.35,1445.4,0.12,130.09,12.99,1227.13,Cryptocurrency,Free Shipping,,2589,0
ORD-100065,CUST-75715,53,Male,Brazil,Platinum,1,2021-06-07,2021-06-08,2021-06-18,Delivered,PROD-3471,Face Wash,Nivea,Beauty & Personal Care,65.52,8,0,0.0,524.16,0.06,31.45,4.99,560.6,Apple Pay,Overnight,2.5,4754,0
ORD-100066,CUST-54350,57,Female,France,Platinum,1,2021-03-22,2021-03-25,2021-04-06,Delivered,PROD-1857,Keyboard,Samsung,Electronics,2033.08,6,0,0.0,12198.48,0.1,1219.85,0,13418.33,Bank Transfer,Overnight,2.8,4282,0
ORD-100067,CUST-94343,37,Prefer not to say,Canada,Platinum,1,2024-05-19,2024-05-21,2024-05-27,Delivered,PROD-6381,Sunscreen SPF50,Philips,Beauty & Personal Care,23.42,7,10,16.39,163.94,0.08,11.8,19.99,179.34,Debit Card,Overnight,3.7,2865,0
ORD-100068,CUST-96760,32,Female,Canada,Bronze,0,2022-09-25,2022-09-27,2022-10-01,Delivered,PROD-6517,Pillow,Tefal,Home & Kitchen,392.91,7,30,825.11,2750.37,0.09,173.27,4.99,2103.52,Debit Card,Overnight,4.1,1572,0
ORD-100069,CUST-71474,57,Non-Binary,Brazil,Gold,0,2023-04-22,2023-04-27,2023-05-08,Shipped,PROD-4178,Lamp,Cuisinart,Home & Kitchen,105.23,3,0,0.0,315.69,0.12,37.88,0,353.57,Apple Pay,In-Store Pickup,,3638,0
ORD-100070,CUST-20993,21,Prefer not to say,France,Gold,0,2021-11-28,2021-12-01,2021-12-14,Shipped,PROD-3626,Body Lotion,CeraVe,Beauty & Personal Care,95.02,5,20,95.02,475.1,0.1,38.01,7.99,426.08,Debit Card,In-Store Pickup,,2048,0
ORD-100071,CUST-22987,33,Prefer not to say,United Kingdom,Gold,0,2023-07-13,2023-07-18,2023-07-19,Delivered,PROD-6493,Water Bottle,Wilson,Sports & Fitness,67.46,7,0,0.0,472.22,0.14,66.11,0,538.33,Bank Transfer,Express,2.6,3063,0
ORD-100072,CUST-16258,53,Prefer not to say,United Kingdom,Bronze,1,2023-07-08,2023-07-08,2023-07-10,Delivered,PROD-4906,Toaster,Philips,Home & Kitchen,182.81,8,0,0.0,1462.48,0.13,190.12,7.99,1660.59,Google Pay,Express,1.9,1224,0
ORD-100073,CUST-78951,33,Prefer not to say,Canada,Bronze,1,2024-03-23,2024-03-26,2024-04-07,Delivered,PROD-9914,Educational Toy,Melissa & Doug,Toys & Games,23.19,8,30,55.66,185.52,0.05,6.49,12.99,149.34,Debit Card,In-Store Pickup,2.7,2890,0
ORD-100074,CUST-94252,67,Non-Binary,Canada,Gold,1,2023-01-02,2023-01-03,2023-01-09,Delivered,PROD-3868,Monitor,Bose,Electronics,137.52,7,15,144.4,962.64,0.08,65.46,0,883.7,Credit Card,Overnight,3.6,849,0
ORD-100075,CUST-16265,70,Prefer not to say,Germany,Gold,1,2021-03-31,2021-04-03,2021-04-04,Delivered,PROD-6438,LED Lights,Blackvue,Automotive,245.32,2,25,122.66,490.64,0.05,18.4,0,386.38,Credit Card,Express,2.2,3262,0
ORD-100076,CUST-81496,69,Non-Binary,United Kingdom,Silver,1,2022-11-26,2022-11-28,2022-12-06,Shipped,PROD-5813,Dumbbells,Fitbit,Sports & Fitness,180.4,7,25,315.7,1262.8,0.14,132.59,7.99,1087.68,Gift Card,Standard,,3009,0
ORD-100077,CUST-77251,57,Prefer not to say,Germany,Gold,1,2023-05-23,2023-05-25,2023-06-06,Delivered,PROD-3621,Sunscreen SPF50,Nivea,Beauty & Personal Care,68.93,5,10,34.47,344.65,0.09,27.92,19.99,358.09,Credit Card,Standard,2.8,2888,0
ORD-100078,CUST-79397,27,Prefer not to say,France,Silver,0,2024-08-14,2024-08-19,2024-08-25,Delivered,PROD-7012,Headphones,Logitech,Electronics,1704.87,8,0,0.0,13638.96,0.06,818.34,0,14457.3,Bank Transfer,Free Shipping,3.3,4956,0
ORD-100079,CUST-69250,31,Non-Binary,Brazil,Bronze,0,2023-11-27,2023-12-03,2023-12-12,Delivered,PROD-3828,Doll,Hot Wheels,Toys & Games,68.4,2,0,0.0,136.8,0.12,16.42,7.99,161.21,Apple Pay,Standard,4.1,3655,0
ORD-100080,CUST-71263,68,Female,Australia,Gold,1,2021-11-19,2021-11-21,2021-12-04,Delivered,PROD-3126,Dash Cam,Meguiar's,Automotive,203.66,2,30,122.2,407.32,0.1,28.51,4.99,318.62,Cryptocurrency,Standard,1.9,1646,0
ORD-100081,CUST-26912,46,Prefer not to say,Japan,Silver,1,2024-03-23,2024-03-24,2024-03-27,Pending,PROD-8088,Jeans,Levi's,Clothing,125.46,8,30,301.1,1003.68,0.09,63.23,7.99,773.8,Bank Transfer,Express,,607,0
ORD-100082,CUST-75873,34,Female,Japan,Bronze,1,2022-04-07,2022-04-12,2022-04-21,Cancelled,PROD-3762,Smartphone,JBL,Electronics,407.94,3,0,0.0,1223.82,0.08,97.91,19.99,1341.72,Google Pay,Express,,646,0
ORD-100083,CUST-92203,34,Female,Mexico,Platinum,0,2021-03-26,2021-03-26,2021-03-28,Delivered,PROD-9938,Toaster,Breville,Home & Kitchen,436.56,10,15,654.84,4365.6,0.13,482.4,12.99,4206.15,Gift Card,In-Store Pickup,3.6,4724,0
ORD-100084,CUST-58567,56,Female,France,Silver,1,2021-05-03,2021-05-05,2021-05-13,Delivered,PROD-9437,Cycling Helmet,Decathlon,Sports & Fitness,105.49,7,10,73.84,738.43,0.1,66.46,19.99,751.04,Bank Transfer,Overnight,2.9,2786,0
ORD-100085,CUST-77466,33,Female,France,Platinum,0,2021-04-14,2021-04-18,2021-04-25,Cancelled,PROD-8648,Hoodie,H&M,Clothing,145.27,5,25,181.59,726.35,0.07,38.13,0,582.89,Bank Transfer,Express,,3425,0
ORD-100086,CUST-62855,36,Male,United Kingdom,Gold,1,2022-03-17,2022-03-22,2022-03-23,Delivered,PROD-6995,Tire Inflator,Philips,Automotive,16.71,7,30,35.09,116.97,0.1,8.19,0,90.07,Gift Card,Express,3.0,3855,0
ORD-100087,CUST-28909,26,Male,India,Gold,1,2023-03-03,2023-03-10,2023-03-23,Delivered,PROD-4261,Monitor,Apple,Electronics,1438.59,4,15,863.15,5754.36,0.11,538.03,0,5429.24,Bank Transfer,Overnight,4.3,973,0
ORD-100088,CUST-76494,38,Non-Binary,Canada,Gold,1,2023-07-25,2023-07-27,2023-08-06,Cancelled,PROD-9351,Chess Set,LEGO,Toys & Games,18.95,3,15,8.53,56.85,0.13,6.28,12.99,67.59,Gift Card,In-Store Pickup,,1145,0
ORD-100089,CUST-32349,56,Prefer not to say,Germany,Platinum,1,2023-05-04,2023-05-08,2023-05-21,Cancelled,PROD-9589,Steering Cover,WeatherTech,Automotive,147.71,1,15,22.16,147.71,0.08,10.04,0,135.59,Apple Pay,Standard,,218,0
ORD-100090,CUST-96799,50,Prefer not to say,United States,Gold,0,2023-05-08,2023-05-10,2023-05-17,Shipped,PROD-8837,Action Figure,Fisher-Price,Toys & Games,15.63,2,5,1.56,31.26,0.05,1.49,4.99,36.18,PayPal,In-Store Pickup,,3361,0
ORD-100091,CUST-51555,53,Non-Binary,Australia,Platinum,0,2024-10-26,2024-10-30,2024-11-09,Delivered,PROD-8861,Doll,Mattel,Toys & Games,119.23,9,15,160.96,1073.07,0.1,91.21,19.99,1023.31,Google Pay,Overnight,4.8,2285,0
ORD-100092,CUST-83664,40,Prefer not to say,Germany,Gold,0,2022-12-08,2022-12-10,2022-12-15,Delivered,PROD-5450,Face Wash,Dove,Beauty & Personal Care,61.11,10,30,183.33,611.1,0.09,38.5,7.99,474.26,Cryptocurrency,Express,4.8,647,0
ORD-100093,CUST-95267,24,Female,United States,Platinum,1,2022-04-08,2022-04-11,2022-04-12,Delivered,PROD-4267,Coffee Maker,Breville,Home & Kitchen,448.41,4,5,89.68,1793.64,0.06,102.24,12.99,1819.19,PayPal,Free Shipping,2.3,3869,0
ORD-100094,CUST-49110,20,Prefer not to say,Brazil,Bronze,0,2021-03-18,2021-03-20,2021-03-27,Cancelled,PROD-2758,Jump Rope,Puma,Sports & Fitness,261.89,2,5,26.19,523.78,0.1,49.76,19.99,567.34,PayPal,Overnight,,1440,0
ORD-100095,CUST-84420,64,Prefer not to say,Germany,Gold,1,2023-10-30,2023-11-06,2023-11-11,Delivered,PROD-4164,Moisturizer,CeraVe,Beauty & Personal Care,197.86,9,30,534.22,1780.74,0.1,124.65,0,1371.17,PayPal,Standard,1.5,1331,0
ORD-100096,CUST-86344,34,Prefer not to say,Australia,Gold,1,2021-07-15,2021-07-17,2021-07-20,Delivered,PROD-1187,Lamp,Cuisinart,Home & Kitchen,498.78,9,15,673.35,4489.02,0.06,228.94,19.99,4064.6,Cryptocurrency,Overnight,4.7,55,0
ORD-100097,CUST-89395,41,Female,Australia,Platinum,0,2024-11-06,2024-11-10,2024-11-22,Delivered,PROD-7121,Jump Rope,Reebok,Sports & Fitness,34.22,2,25,17.11,68.44,0.08,4.11,7.99,63.43,PayPal,Free Shipping,4.7,2416,0
ORD-100098,CUST-31566,54,Male,United States,Silver,1,2021-06-17,2021-06-24,2021-07-03,Shipped,PROD-6375,Chess Set,Melissa & Doug,Toys & Games,191.27,4,5,38.25,765.08,0.12,87.22,12.99,827.04,Apple Pay,In-Store Pickup,,639,0
ORD-100099,CUST-38560,53,Prefer not to say,Germany,Bronze,1,2021-04-24,2021-05-01,2021-05-04,Delivered,PROD-2196,Dash Cam,Thule,Automotive,217.9,8,0,0.0,1743.2,0.14,244.05,7.99,1995.24,Credit Card,Free Shipping,2.8,472,0
ORD-100100,CUST-95660,41,Prefer not to say,Brazil,Silver,0,2023-08-25,2023-08-25,2023-08-30,Delivered,PROD-6697,Monitor,HP,Electronics,1759.94,9,0,0.0,15839.46,0.14,2217.52,0,18056.98,Gift Card,Free Shipping,4.1,3443,0
