employee_id,age,gender,marital_status,country,education_level,years_of_experience,department,job_title,employment_type,remote_work,hire_date,tenure_years,base_salary,bonus_percent,bonus_amount,total_compensation,performance_rating,job_satisfaction_score,engagement_score,work_life_balance_score,manager_rating,overtime,trainings_completed,promotions_received,absences_days,attrition,attrition_reason
EMP-100051,44,Prefer not to say,Married,Australia,Master's Degree,18,Marketing,Content Strategist,Full-Time,No,2015-06-10,9.6,61461.09,10,6146.11,67607.2,Meets Expectations,3.4,3.4,3.9,2.9,Yes,10,2,14,No,Still Employed
EMP-100052,23,Non-Binary,Single,Australia,Bachelor's Degree,1,Marketing,Content Strategist,Full-Time,No,2018-07-01,6.5,143000.09,20,28600.02,171600.11,Exceeds Expectations,3.2,1.6,4.0,4.4,Yes,3,1,26,Yes,Resigned
EMP-100053,41,Prefer not to say,Widowed,United States,Master's Degree,16,Customer Support,Support Agent,Full-Time,Hybrid,2020-03-16,4.8,116752.91,20,23350.58,140103.49,Exceeds Expectations,2.0,2.3,3.8,1.1,Yes,3,5,9,No,Still Employed
EMP-100054,24,Prefer not to say,Widowed,Brazil,Associate Degree,1,HR,Recruiter,Contract,Hybrid,2011-04-13,13.7,56469.53,20,11293.91,67763.44,Needs Improvement,2.5,3.1,3.8,1.6,No,1,0,28,Yes,Retired
EMP-100055,54,Female,Single,France,High School,29,Customer Support,Team Lead,Full-Time,No,2016-07-22,8.4,100980.49,20,20196.1,121176.59,Exceeds Expectations,2.3,2.7,3.4,2.3,Yes,3,1,13,No,Still Employed
EMP-100056,44,Prefer not to say,Single,Canada,PhD,2,Finance,CFO,Full-Time,No,2021-12-24,3.0,33221.24,25,8305.31,41526.55,Outstanding,3.1,3.7,4.7,2.8,No,3,1,2,No,Still Employed
EMP-100057,36,Female,Divorced,United Kingdom,Master's Degree,5,Legal,Paralegal,Full-Time,Hybrid,2022-11-03,2.2,124974.26,0,0.0,124974.26,Exceeds Expectations,2.7,2.6,4.2,4.0,Yes,8,2,6,No,Still Employed
EMP-100058,40,Prefer not to say,Widowed,India,Bachelor's Degree,14,Sales,Account Executive,Contract,Yes,2010-08-17,14.4,41064.32,20,8212.86,49277.18,Exceeds Expectations,3.1,4.6,2.3,4.3,No,0,3,5,Yes,Retired
EMP-100059,34,Male,Widowed,UAE,Bachelor's Degree,10,Legal,Compliance Officer,Full-Time,Yes,2018-11-22,6.1,35086.11,20,7017.22,42103.33,Outstanding,3.0,1.6,1.7,4.1,No,8,0,14,No,Still Employed
EMP-100060,25,Female,Married,Canada,Master's Degree,1,Data Science,AI Researcher,Full-Time,Yes,2013-01-22,11.9,126009.84,0,0.0,126009.84,Meets Expectations,2.4,4.2,2.5,3.3,No,7,5,29,No,Still Employed
EMP-100061,30,Female,Single,India,High School,5,Engineering,Tech Lead,Full-Time,Hybrid,2010-03-11,14.8,81280.14,15,12192.02,93472.16,Exceeds Expectations,4.6,2.5,4.6,2.5,Yes,1,2,18,No,Still Employed
EMP-100062,24,Male,Widowed,United States,Bachelor's Degree,2,Data Science,Data Scientist,Full-Time,No,2016-06-26,8.5,163086.7,5,8154.34,171241.04,Exceeds Expectations,2.0,1.2,1.4,1.3,No,4,4,3,No,Still Employed
EMP-100063,30,Female,Divorced,Singapore,High School,5,Customer Support,Team Lead,Full-Time,Hybrid,2019-08-23,5.4,40713.03,20,8142.61,48855.64,Exceeds Expectations,3.8,2.4,3.8,3.3,No,1,4,0,Yes,Resigned
EMP-100064,54,Non-Binary,Married,UAE,PhD,14,Sales,Account Executive,Full-Time,Hybrid,2018-08-09,6.4,135522.18,5,6776.11,142298.29,Meets Expectations,3.4,2.2,4.2,4.5,Yes,0,2,12,No,Still Employed
EMP-100065,27,Non-Binary,Single,United Kingdom,PhD,1,HR,HR Manager,Full-Time,No,2022-10-26,2.2,80893.96,5,4044.7,84938.66,Meets Expectations,3.9,4.8,1.8,3.3,Yes,6,3,8,No,Still Employed
EMP-100066,48,Female,Divorced,Canada,PhD,7,HR,HRBP,Contract,Yes,2012-05-26,12.6,80486.29,0,0.0,80486.29,Needs Improvement,1.3,3.4,3.4,4.7,No,8,4,30,Yes,Terminated
EMP-100067,30,Prefer not to say,Married,Brazil,Master's Degree,4,Operations,COO,Full-Time,No,2020-03-31,4.8,145929.64,10,14592.96,160522.6,Meets Expectations,4.4,4.2,3.4,1.9,No,8,1,11,No,Still Employed
EMP-100068,50,Non-Binary,Divorced,Germany,Bachelor's Degree,16,Product,Product Owner,Full-Time,No,2015-11-02,9.2,56134.8,0,0.0,56134.8,Meets Expectations,2.2,2.7,3.3,4.1,Yes,6,0,14,No,Still Employed
EMP-100069,57,Male,Married,United States,PhD,15,HR,HR Coordinator,Full-Time,Yes,2017-02-01,7.9,103802.1,5,5190.1,108992.2,Exceeds Expectations,2.0,2.0,5.0,3.3,No,1,3,5,No,Still Employed
EMP-100070,62,Female,Married,Australia,Associate Degree,0,HR,HRBP,Full-Time,Hybrid,2014-02-28,10.8,154077.35,0,0.0,154077.35,Meets Expectations,2.1,1.3,3.1,3.5,No,10,1,10,No,Still Employed
EMP-100071,58,Male,Divorced,UAE,High School,12,Finance,Controller,Full-Time,No,2022-07-10,2.5,161601.8,10,16160.18,177761.98,Meets Expectations,4.3,2.7,2.4,2.6,No,5,3,19,No,Still Employed
EMP-100072,38,Prefer not to say,Married,Brazil,High School,3,Legal,Paralegal,Contract,No,2016-08-10,8.4,55393.45,15,8309.02,63702.47,Exceeds Expectations,1.5,3.4,2.2,1.0,Yes,0,3,12,No,Still Employed
EMP-100073,29,Prefer not to say,Single,France,Master's Degree,2,Data Science,ML Engineer,Full-Time,No,2012-12-12,12.1,130524.02,15,19578.6,150102.62,Needs Improvement,2.0,5.0,1.2,1.7,No,5,1,22,No,Still Employed
EMP-100074,59,Non-Binary,Divorced,United States,PhD,3,Operations,Process Analyst,Full-Time,Yes,2013-02-05,11.9,83757.67,20,16751.53,100509.2,Exceeds Expectations,1.0,2.9,3.7,1.7,Yes,6,2,25,Yes,Resigned
EMP-100075,44,Female,Married,Germany,High School,10,Customer Support,Technical Support,Full-Time,No,2018-09-21,6.3,147222.91,0,0.0,147222.91,Outstanding,3.4,4.3,3.8,4.4,No,9,0,29,Yes,Retired
EMP-100076,45,Female,Married,France,High School,2,Finance,CFO,Part-Time,No,2014-06-21,10.5,132405.54,5,6620.28,139025.82,Outstanding,2.9,3.9,4.8,1.5,Yes,5,0,12,No,Still Employed
EMP-100077,47,Prefer not to say,Single,India,Associate Degree,12,Marketing,CMO,Full-Time,No,2021-10-30,3.2,91876.44,20,18375.29,110251.73,Exceeds Expectations,2.0,2.6,1.0,2.2,Yes,9,4,15,No,Still Employed
EMP-100078,35,Non-Binary,Single,India,High School,11,Legal,Legal Counsel,Full-Time,No,2017-02-19,7.9,31178.08,25,7794.52,38972.6,Meets Expectations,2.6,2.8,1.2,3.6,Yes,3,3,11,No,Still Employed
EMP-100079,37,Prefer not to say,Single,Germany,Associate Degree,4,Legal,Compliance Officer,Full-Time,No,2015-09-27,9.3,44532.54,5,2226.63,46759.17,Exceeds Expectations,4.7,4.1,3.2,3.9,Yes,1,3,27,No,Still Employed
EMP-100080,36,Male,Widowed,United Kingdom,PhD,11,Customer Support,Team Lead,Contract,No,2014-08-14,10.4,114742.4,10,11474.24,126216.64,Meets Expectations,1.3,1.7,2.3,4.0,No,10,3,27,No,Still Employed
EMP-100081,39,Male,Married,United Kingdom,High School,17,Legal,Attorney,Full-Time,Yes,2023-06-07,1.6,51132.5,25,12783.12,63915.62,Meets Expectations,4.9,3.6,4.5,4.6,No,8,1,7,Yes,Retired
EMP-100082,32,Prefer not to say,Married,Germany,Master's Degree,6,Customer Support,Customer Success,Full-Time,Yes,2024-06-22,0.5,73356.56,0,0.0,73356.56,Needs Improvement,1.4,4.1,4.2,4.5,No,6,3,0,No,Still Employed
EMP-100083,51,Prefer not to say,Widowed,Australia,Bachelor's Degree,6,Operations,Operations Analyst,Full-Time,No,2016-12-15,8.0,165214.22,20,33042.84,198257.06,Outstanding,2.6,4.4,2.7,2.9,No,7,1,17,No,Still Employed
EMP-100084,24,Female,Divorced,Canada,High School,0,Operations,COO,Full-Time,No,2017-01-01,8.0,40899.01,10,4089.9,44988.91,Needs Improvement,4.4,4.6,5.0,2.1,No,7,4,19,No,Still Employed
EMP-100085,56,Prefer not to say,Single,Australia,Associate Degree,0,Finance,Accountant,Full-Time,Yes,2012-06-21,12.5,67438.97,15,10115.85,77554.82,Needs Improvement,1.7,3.7,2.1,4.1,Yes,5,2,26,No,Still Employed
EMP-100086,33,Non-Binary,Single,Germany,PhD,11,Marketing,Content Strategist,Full-Time,No,2022-12-02,2.1,171395.11,0,0.0,171395.11,Meets Expectations,3.0,1.2,4.4,4.9,Yes,0,5,7,Yes,Resigned
EMP-100087,46,Non-Binary,Single,Germany,Master's Degree,0,Product,Product Manager,Full-Time,No,2011-02-08,13.9,99411.56,15,14911.73,114323.29,Outstanding,4.3,1.9,2.4,1.6,Yes,3,1,30,No,Still Employed
EMP-100088,54,Prefer not to say,Single,UAE,High School,21,Customer Support,Customer Success,Contract,Yes,2022-07-05,2.5,60710.38,5,3035.52,63745.9,Meets Expectations,2.7,3.9,1.8,1.0,No,2,5,16,No,Still Employed
EMP-100089,59,Non-Binary,Married,Canada,High School,19,Product,UX Designer,Full-Time,Hybrid,2014-05-14,10.6,118889.17,25,29722.29,148611.46,Meets Expectations,3.2,3.6,3.2,3.6,No,7,2,16,No,Still Employed
EMP-100090,48,Non-Binary,Divorced,Germany,PhD,14,Finance,Budget Analyst,Full-Time,No,2015-01-08,10.0,68085.01,20,13617.0,81702.01,Exceeds Expectations,1.2,2.1,4.4,2.8,Yes,6,4,7,No,Still Employed
EMP-100091,47,Non-Binary,Divorced,India,Bachelor's Degree,13,Product,UX Designer,Full-Time,No,2013-04-05,11.7,173494.72,20,34698.94,208193.66,Meets Expectations,2.9,3.1,1.6,4.5,Yes,4,0,19,Yes,Laid Off
EMP-100092,29,Prefer not to say,Single,UAE,Bachelor's Degree,2,Product,Product Owner,Full-Time,No,2013-03-29,11.8,79001.97,10,7900.2,86902.17,Outstanding,2.0,4.8,5.0,3.9,No,9,2,10,No,Still Employed
EMP-100093,61,Female,Widowed,France,High School,3,Data Science,AI Researcher,Full-Time,Yes,2012-12-29,12.0,30254.11,10,3025.41,33279.52,Meets Expectations,2.1,1.8,2.2,3.1,No,1,3,25,No,Still Employed
EMP-100094,47,Prefer not to say,Single,Brazil,Associate Degree,2,Marketing,Marketing Analyst,Full-Time,No,2020-06-20,4.5,108117.93,10,10811.79,118929.72,Exceeds Expectations,4.4,3.8,3.1,4.2,No,6,1,3,Yes,Resigned
EMP-100095,44,Female,Married,Germany,Master's Degree,9,HR,HRBP,Full-Time,No,2021-11-02,3.2,102412.87,10,10241.29,112654.16,Needs Improvement,2.1,1.5,4.0,4.7,Yes,1,1,14,No,Still Employed
EMP-100096,57,Male,Single,India,Master's Degree,6,Product,UX Designer,Full-Time,No,2021-09-16,3.3,119169.89,5,5958.49,125128.38,Meets Expectations,3.5,3.9,2.3,2.9,No,2,5,15,No,Still Employed
EMP-100097,39,Female,Widowed,Singapore,High School,13,Marketing,CMO,Part-Time,Yes,2013-05-15,11.6,65527.66,10,6552.77,72080.43,Exceeds Expectations,3.2,2.2,4.9,3.5,No,3,5,0,No,Still Employed
EMP-100098,28,Male,Widowed,UAE,Associate Degree,3,Engineering,Software Engineer,Full-Time,Hybrid,2011-07-12,13.5,39475.91,0,0.0,39475.91,Needs Improvement,3.4,3.5,2.1,4.5,No,5,3,17,No,Still Employed
EMP-100099,41,Prefer not to say,Single,Singapore,High School,1,Data Science,BI Developer,Full-Time,No,2019-02-13,5.9,115955.15,0,0.0,115955.15,Exceeds Expectations,3.5,4.4,3.4,1.8,Yes,9,0,7,No,Still Employed
EMP-100100,44,Non-Binary,Single,India,Master's Degree,11,Product,Product Manager,Part-Time,No,2013-04-03,11.8,153279.16,10,15327.92,168607.08,Needs Improvement,3.4,2.5,2.5,3.8,No,8,5,19,No,Still Employed
EMP-100101,33,Non-Binary,Married,United States,Associate Degree,1,Engineering,DevOps Engineer,Full-Time,No,2024-02-08,0.9,111977.16,10,11197.72,123174.88,Meets Expectations,3.8,1.4,1.9,3.9,Yes,8,3,19,No,Still Employed
EMP-100102,34,Non-Binary,Divorced,Australia,PhD,1,Operations,Supply Chain Manager,Contract,Hybrid,2016-09-01,8.3,136664.09,15,20499.61,157163.7,Meets Expectations,3.5,1.5,2.7,5.0,Yes,10,1,28,No,Still Employed
EMP-100103,41,Non-Binary,Single,Canada,Bachelor's Degree,7,Sales,Sales Representative,Full-Time,Hybrid,2020-04-23,4.7,71056.72,0,0.0,71056.72,Meets Expectations,1.2,4.4,3.3,3.2,No,1,0,11,No,Still Employed
EMP-100104,24,Prefer not to say,Married,Germany,Master's Degree,2,Data Science,Data Analyst,Full-Time,No,2012-02-09,12.9,147153.86,10,14715.39,161869.25,Exceeds Expectations,3.4,1.3,2.8,2.9,No,10,1,29,No,Still Employed
EMP-100105,52,Male,Single,Germany,High School,29,Customer Support,Team Lead,Contract,No,2023-11-30,1.1,175071.27,20,35014.25,210085.52,Meets Expectations,1.3,3.1,3.4,1.7,No,3,2,3,No,Still Employed
EMP-100106,57,Prefer not to say,Single,United States,Master's Degree,21,Engineering,Senior Engineer,Full-Time,Yes,2023-07-22,1.4,53960.05,25,13490.01,67450.06,Meets Expectations,4.1,4.9,4.7,2.1,No,2,5,22,No,Still Employed
EMP-100107,50,Female,Married,Germany,Master's Degree,6,Customer Support,Customer Success,Full-Time,Hybrid,2015-12-04,9.1,57294.59,25,14323.65,71618.24,Needs Improvement,4.9,3.6,3.9,4.1,No,5,5,5,No,Still Employed
EMP-100108,53,Female,Single,Australia,Associate Degree,18,Sales,BDR,Full-Time,Hybrid,2018-10-02,6.3,101167.62,0,0.0,101167.62,Exceeds Expectations,2.9,1.5,2.0,2.5,Yes,6,3,17,No,Still Employed
EMP-100109,39,Female,Single,India,High School,17,Engineering,QA Engineer,Full-Time,No,2018-07-07,6.5,105610.17,0,0.0,105610.17,Outstanding,3.1,4.4,3.9,1.4,Yes,6,0,18,No,Still Employed
EMP-100110,44,Male,Widowed,Australia,PhD,20,Operations,Process Analyst,Contract,Yes,2016-08-08,8.4,72497.42,15,10874.61,83372.03,Needs Improvement,4.8,1.9,4.5,3.9,No,0,4,23,No,Still Employed
EMP-100111,32,Prefer not to say,Divorced,Brazil,Bachelor's Degree,0,Engineering,QA Engineer,Contract,Hybrid,2019-06-01,5.6,160934.38,0,0.0,160934.38,Outstanding,2.2,1.9,4.1,4.2,No,2,0,0,No,Still Employed
EMP-100112,34,Non-Binary,Widowed,India,Bachelor's Degree,3,Product,Head of Product,Full-Time,Hybrid,2021-08-23,3.4,149597.5,5,7479.88,157077.38,Exceeds Expectations,3.0,2.3,3.3,2.8,No,0,5,15,No,Still Employed
EMP-100113,24,Male,Single,United States,PhD,2,Customer Support,Technical Support,Part-Time,Hybrid,2015-03-31,9.8,132833.51,15,19925.03,152758.54,Meets Expectations,3.1,4.3,4.5,1.9,Yes,5,1,27,No,Still Employed
EMP-100114,62,Non-Binary,Divorced,Canada,Bachelor's Degree,27,Legal,Legal Analyst,Full-Time,Hybrid,2021-09-20,3.3,77492.09,10,7749.21,85241.3,Needs Improvement,4.9,3.0,2.6,3.8,Yes,1,5,12,No,Still Employed
